cat	nombre	pvp_gs
U	Diccionario Alamo Español-Inglés	17950
U	Diccionario Alamo Guaraní/Español	13150
U	Diccionario Océano Práctico Español	32250
U	Bolígrafo Maped Ice Clic Azul x10	28550
U	Set Geometría Junior Acrimet	15500
U	Regla 30cm Maped Essentials Eco	3050
U	Regla 30cm Metal H-Tone	4500
U	Cutter Chico Alamo guía plástico	1850
U	Cutter Grande Alamo guía metal	6250
U	Tijera Mediana Alamo Oficina 18cm	7150
U	Tijera Grande Alamo asimétrica 19cm	9250
U	Tijera Grande Alamo asimétrica 20cm	8150
U	Tijera Maped Essentials 13cm	4150
U	Tijera Maped Reflex 12cm	10650
U	Tijera Maped Security 13cm	7500
U	Tijera Maped Indestructible 21cm	52750
U	Tijera Maped Escolar Koopy Blister	17550
U	Lápiz HB H-Tone Flexible c/goma	450
U	Lápiz HB H-Tone Rojo	500
U	Lápiz 12 col. H-Tone Largo Flexible	7000
U	Lápiz 24 col. H-Tone Largo	21050
U	Lápiz 24 col. H-Tone Largo Flexible	13650
U	Lápiz 12 col. H-Tone Acuarelado	12150
U	Lápiz 36 col. Maped Largo	71400
U	Lápiz 36 col. Acrilex Largo	36000
U	Lápiz de papel Maped HB x72 pote	153650
U	Set Maped Color Peps x100 pcs	182750
U	Estuche Escolar Maped x12 Mini Cute	99200
U	Borrador Maped Technic 600 c/funda	3550
U	Borrador Maped Black	2900
U	Borrador Maped Mini X-pert Técnico	1650
U	Borrador Maped Arquitectura	6050
U	Borrador H-Tone Escolar Plástico	900
U	Borrador Alamo c/cobertor colores	1750
U	Escuadra Escolar 45° H-Tone	2700
U	Cartuchera Maped Plana Girl Mexican	42400
U	Cartuchera Maped Plana Boy Ethnic	42400
U	Cartuchera FW Organizador Book Magu	51350
U	Marcador Maped Punta Fina 0,4mm x10	50800
U	Bolígrafo Compactor 0,7mm Azul	1200
U	Bolígrafo Compactor 0,7mm Negro	1200
U	Bolígrafo Compactor 0,7mm Rojo	1200
U	Bolígrafo Schneider Roller Paint-It Metal	11200
U	Portamina H-Tone Metal 0,5mm	2750
U	Mina Mospas 0,5mm	630
U	Compás H-Tone con Abrazadera	4400
U	Transportador 180° H-Tone	1700
O	Cuad. Cosmos T/D c/Diseño 48H	3640
O	Cuad. Cosmos T/D c/Diseño 96H	5625
O	Univ. Alamo Neon 96H T/D 1R	12250
O	Univ. Alamo Pastel 200H T/D 1R	21318
O	Univ. Alamo T/D PVC Pastel Gofrado 96H	29650
O	Univ. Alamo Hot Wheels 48H 1R	7100
O	Libretita Alamo Nº1 96H Executive	6800
O	Cuad 2001 T/D 96H	3000
O	Presilladora Alamo Metal chica	12700
O	Presilladora Alamo Metal grande	22800
O	Clips Alamo Nº3 28mm	2600
O	Clips Alamo Nº4 33mm	2700
O	Porta Lápiz Liggo Coral Pastel	8860
O	Plasticola Maxi Cola 90g	3300
O	Pegamento en Barra UHU Stic 40g	31200
O	Cinta Embalaje 48mmx36,5m Transp.	5500
O	Cinta Embalaje Racing Polo Verde	28000
O	Cinta Embalaje Racing Polo Blanca	28000
O	Cinta Adhesiva Comercial 11mmx18,2m	1450
O	Cinta Doble Faz 12mmx10m AllTape	3500
O	Cinta Correctiva 5mm x 6m H-Tone	4350
O	Corrector Líquido Acrilex 18ml	6650
O	Corrector Lápiz 5ml H-Tone	2650
O	Corrector Líquido Toque Mágico 18ml	3000
O	Resma Cosmos Carta x500	20250
O	Resma Alamo Oficio x500	24100
O	Resma Alamo A4 x500	21100
O	Resma Cosmos Oficio Celeste x500	41450
O	Carpeta Semitransp. 20mm Azul	7450
O	Carpeta Semitransp. 55mm Cristal	10050
O	Carpeta Semitransp. 40mm Humo	9850
O	Carpeta Archivadora Alamo Minion	7200
O	Carpeta Archivadora Azul	1850
O	Carpeta Archivadora Rosa Pastel	1850
O	Carpeta Archivadora Lila	1850
O	Carpeta Archivadora Naranja	1850
O	Carpeta Archivadora Verde	1850
O	Carpeta Archivadora Bordo	1850
O	Bibliorato Alamo L/A Oficio Común	10700
O	Bibliorato Lomo Ancho PVC Rojo	12800
O	Bibliorato Lomo Ancho PVC Gris	12800
O	Sobre 12x9cm 80gr Blister x20	4200
O	Sobre Bolsa 25x36 Kraft 80gr	7600
O	Sobre Tarjetón 13,5x18,5 80gr x10	2200
O	Papel Contac Rapmi Transp. 10mx45cm	37050
O	Folio A4 Proplast x10	3250
O	Señaladores Adhes. H-Tone 4col x25h	3500
O	Banderita Index Stick'n 45x12 5col	5800
O	Nota Adhesiva Stick'n 38x51 Amarillo	25950
O	Banderita Index Stick'n 200h remov.	9550
O	Tiza Marfil x12 Blanco	5000
O	Tiza Marfil Color x12	7300
O	Marcador Compactor P/Pizarra Recargable	6400
O	Marcador Compactor Destaq Fluo	3900
O	Marcador Destaq Fluor Blist x4	19400
A	Tempera Acrilex 250ml Blanco	12350
A	Tempera Acrilex 250ml Celeste	12350
A	Tempera Acrilex 250ml Amarillo Oro	12350
A	Tempera Acrilex 250ml Negro	12350
A	Tempera Acrilex 250ml Verde Bandera	12350
A	Tempera Acrilex 15ml 6col Colgante	9250
A	Tempera Acrilex 18ml x6col c/pinceles	30650
A	Tempera Acrilex x6col Neon 15ml	17200
A	Plastilina Acrilex Escolar x6col 60g	6400
A	Plastilina Acrilex Escolar x12col 180g	13700
